day,propotion,treatment_group
1AM,0.683685269,High Control
1PM,0.683685269,High Control
2AM,0.802890155,High Control
2PM,0.862030075,High Control
3AM,0.817067169,High Control
3PM,0.804358748,High Control
4AM,0.769921498,High Control
4PM,0.811114174,High Control
5AM,0.806764955,High Control
5PM,0.740342736,High Control
1AM,0.847008547,Low Control
1PM,0.847008547,Low Control
2AM,0.825111799,Low Control
2PM,0.820959596,Low Control
3AM,0.783760733,Low Control
3PM,0.834321074,Low Control
4AM,0.844296589,Low Control
4PM,0.79962963,Low Control
5AM,0.822284494,Low Control
5PM,0.837555556,Low Control
1AM,0.72,High Imidacloprid 
1PM,0.72,High Imidacloprid 
2AM,0.593893557,High Imidacloprid 
2PM,0.862030075,High Imidacloprid 
3AM,0.65949645,High Imidacloprid 
3PM,0.681823148,High Imidacloprid 
4AM,0.51859917,High Imidacloprid 
4PM,0.556959064,High Imidacloprid 
5AM,0.420070322,High Imidacloprid 
5PM,0.433447017,High Imidacloprid 
1AM,0.82977467,Low Imidacloprid
1PM,0.82977467,Low Imidacloprid
2AM,0.859552374,Low Imidacloprid
2PM,0.89510582,Low Imidacloprid
3AM,0.816408598,Low Imidacloprid
3PM,0.823650774,Low Imidacloprid
4AM,0.706959064,Low Imidacloprid
4PM,0.69157332,Low Imidacloprid
5AM,0.532651356,Low Imidacloprid
5PM,0.555287947,Low Imidacloprid
