date,day,time,microcolony_id,treatment,temp,treatmentgroup,bee_number,inactive,brood,active,total
14/07/2021,1,AM,11A,CONTROL,LOW,controllow,1,0,0,3,3
,1,AM,,,,controllow,2,1,0,2,3
,1,AM,,,,controllow,3,0,3,0,3
,1,AM,,,,controllow,4,0,3,0,3
,1,AM,,,,controllow,5,0,3,0,3
,1,AM,,,,controllow,6,0,3,0,3
,1,AM,,,,controllow,7,0,3,0,3
,1,AM,,,,controllow,8,0,3,0,3
,1,AM,,,,controllow,8,0,3,0,3
,1,AM,,,,controllow,10,0,3,0,3
,1,AM,,,,controllow,11,0,3,0,3
,1,AM,,,,controllow,12,0,3,0,3
,1,AM,,,,controllow,13,0,3,0,3
,1,AM,,,,controllow,14,0,3,0,3
,1,AM,,,,controllow,15,0,3,0,3
,1,AM,11B,CONTROL,LOW,controllow,1,0,0,3,3
,1,AM,,,,controllow,2,0,1,2,3
,1,AM,,,,controllow,3,0,3,0,3
,1,AM,,,,controllow,4,0,3,0,3
,1,AM,,,,controllow,5,0,3,0,3
,1,AM,,,,controllow,6,0,3,0,3
,1,AM,,,,controllow,7,0,3,0,3
,1,AM,,,,controllow,8,0,3,0,3
,1,AM,,,,controllow,8,0,3,0,3
,1,AM,,,,controllow,10,0,3,0,3
,1,AM,,,,controllow,11,0,3,0,3
,1,AM,,,,controllow,12,0,2,1,3
,1,AM,,,,controllow,13,0,2,1,3
,1,AM,,,,controllow,14,0,2,1,3
,1,AM,,,,controllow,15,0,2,1,3
,1,AM,12A,CONTROL,LOW,controllow,1,0,0,3,3
,1,AM,,,,controllow,2,0,0,3,3
,1,AM,,,,controllow,3,0,0,3,3
,1,AM,,,,controllow,4,0,0,3,3
,1,AM,,,,controllow,5,0,0,3,3
,1,AM,,,,controllow,6,0,0,3,3
,1,AM,,,,controllow,7,0,3,0,3
,1,AM,,,,controllow,8,0,3,0,3
,1,AM,,,,controllow,8,0,3,0,3
,1,AM,,,,controllow,10,0,3,0,3
,1,AM,,,,controllow,11,0,3,0,3
