date,day,time,microcolony_ID,TREATMENT,TEMP,treatmentgroup,time,image_ID,replicate,hot_spot,bee_type,spot_one,spot_two,ambient_reading,brood_temp,ambient_true,,,,,,,,
,0,PM,11A,CONTROL,LOW,controllow,,,1,34.7,brood,23.5,34,22.1,30.73333333,19,,,,,,,,
,0,PM,,CONTROL,LOW,controllow,,,2,,,,,,,19,,,,,,,,
,0,PM,,CONTROL,LOW,controllow,,,3,,,,,,,19,,,,DAY,HIGHCONTROL,LOWCONTROL,HIGHIMI,LOWIMI
,0,PM,11B,CONTROL,LOW,controllow,,,1,35.8,brood,26.2,30.8,21.6,30.93333333,19,,,,0,32.15,31.05333333,30.43333333,30.65333333
,0,PM,,CONTROL,LOW,controllow,,,2,,,,,,,19,,,,1AM,34.00444444,29.65416667,30.79285714,26.69622222
,0,PM,,CONTROL,LOW,controllow,,,3,,,,,,,19,,,,1PM,34.1355555,29.454545,30.79111,26.569
,0,PM,12A,CONTROL,LOW,controllow,,,1,35.1,bee,32.2,28.6,22.2,31.96666667,19,,,,2AM,33.57111111,30.33809524,31.75333333,26.69622222
,0,PM,,CONTROL,LOW,controllow,,,2,,,,,,,19,,,,2PM,33.72444444,30.37333333,31.61111111,27.11520833
,0,PM,,CONTROL,LOW,controllow,,,3,,,,,,,19,,,,3AM,32.81777778,29.12666667,30.82888889,23.68222222
,0,PM,12B,CONTROL,LOW,controllow,,,1,35,brood,22.8,31.3,22.1,29.7,19,,,,3PM,33.06458333,29.35777778,30.82888889,22.49777778
,0,PM,,CONTROL,LOW,controllow,,,2,,,,,,,19,,,,4AM,33.14222222,29.92888889,26.2452381,22.25952381
,0,PM,,CONTROL,LOW,controllow,,,3,,,,,,,19,,,,4PM,31.79375,30.28444444,27.75777778,20.42888889
,0,PM,3E,CONTROL,LOW,controllow,,,1,36.3,brood,29.5,30,22.9,31.93333333,19,,,,5AM,33.06666667,30.13333333,28.36888889,22.18
,0,PM,,CONTROL,LOW,controllow,,,2,,,,,,,19,,,,5PM,32.21111111,28.65777778,26.26888889,20.71555556
,0,PM,,CONTROL,LOW,controllow,,,3,,,,,,,19,,,,,,,,
,0,PM,14A,CONTROL,HIGH,controlhigh,,,1,35.6,brood,31.1,34.4,27.4,33.7,25,,,,,,,,
