date,day,time,microcolony_id,TREATMENT,TEMP,treatmentgroup,video_id,minute,total number of  visible bees ,number of bees on brood,number of bees off brood,propotion 
14/07/2021,1,AM,11A,CONTROL,LOW,controllow,,1,15,13,2,0.866666667
,1,AM,,CONTROL,LOW,controllow,,2,15,13,2,0.866666667
,1,AM,,CONTROL,LOW,controllow,,3,15,13,2,0.866666667
,1,AM,11B,CONTROL,LOW,controllow,,1,12,10,2,0.833333333
,1,AM,,CONTROL,LOW,controllow,,2,13,11,2,0.846153846
,1,AM,,CONTROL,LOW,controllow,,3,13,9,4,0.692307692
,1,AM,12A,CONTROL,LOW,controllow,,1,15,12,3,0.8
,1,AM,,CONTROL,LOW,controllow,,2,15,10,5,0.666666667
,1,AM,,CONTROL,LOW,controllow,,3,15,13,2,0.866666667
,1,AM,12B,CONTROL,LOW,controllow,,1,15,13,2,0.866666667
,1,AM,,CONTROL,LOW,controllow,,2,15,11,4,0.733333333
,1,AM,,CONTROL,LOW,controllow,,3,15,13,2,0.866666667
,1,AM,3E,CONTROL,LOW,controllow,,1,15,15,0,1
,1,AM,,CONTROL,LOW,controllow,,2,15,15,0,1
,1,AM,,CONTROL,LOW,controllow,,3,15,14,1,0.933333333
,1,AM,14A,CONTROL,HIGH,controlhigh,,1,13,7,6,0.538461538
,1,AM,,CONTROL,HIGH,controlhigh,,2,15,10,5,0.666666667
,1,AM,,CONTROL,HIGH,controlhigh,,3,16,10,6,0.625
,1,AM,14B,CONTROL,HIGH,controlhigh,,1,17,13,4,0.764705882
,1,AM,,CONTROL,HIGH,controlhigh,,2,15,11,4,0.733333333
,1,AM,,CONTROL,HIGH,controlhigh,,3,15,12,3,0.8
,1,AM,14C,CONTROL,HIGH,controlhigh,,1,,,2,
,1,AM,,CONTROL,HIGH,controlhigh,,2,,,,
,1,AM,,CONTROL,HIGH,controlhigh,,3,,,,
,1,AM,15A,CONTROL,HIGH,controlhigh,,1,16,10,6,0.625
,1,AM,,CONTROL,HIGH,controlhigh,,2,15,11,4,0.733333333
,1,AM,,CONTROL,HIGH,controlhigh,,3,15,10,5,0.666666667
,1,AM,15B,CONTROL,HIGH,controlhigh,,1,,,,
,1,AM,,CONTROL,HIGH,controlhigh,,2,,,,
,1,AM,,CONTROL,HIGH,controlhigh,,3,,,,
,1,AM,1C,IMI,LOW,imilow,,1,15,14,1,0.933333333
,1,AM,,IMI,LOW,imilow,,2,15,14,1,0.933333333
,1,AM,,IMI,LOW,imilow,,3,15,14,1,0.933333333
,1,AM,1D,IMI,LOW,imilow,,1,15,13,2,0.866666667
,1,AM,,IMI,LOW,imilow,,2,15,12,3,0.8
,1,AM,,IMI,LOW,imilow,,3,15,14,1,0.933333333
,1,AM,1E,IMI,LOW,imilow,,1,15,14,1,0.933333333
,1,AM,,IMI,LOW,imilow,,2,15,14,1,0.933333333
,1,AM,,IMI,LOW,imilow,,3,15,14,1,0.933333333
,1,AM,3C,IMI,LOW,imilow,,1,15,12,3,0.8
,1,AM,,IMI,LOW,imilow,,2,15,13,2,0.866666667
,1,AM,,IMI,LOW,imilow,,3,15,13,2,0.866666667
,1,AM,3D,IMI,LOW,imilow,,1,11,7,4,0.636363636
,1,AM,,IMI,LOW,imilow,,2,13,6,7,0.461538462
,1,AM,,IMI,LOW,imilow,,3,13,8,5,0.615384615
,1,AM,13A,IMI,HIGH,imihigh,,1,15,7,8,0.466666667
,1,AM,,IMI,HIGH,imihigh,,2,15,8,7,0.533333333
,1,AM,,IMI,HIGH,imihigh,,3,15,9,6,0.6
,1,AM,13B,IMI,HIGH,imihigh,,1,15,10,5,0.666666667
,1,AM,,IMI,HIGH,imihigh,,2,15,13,2,0.866666667
,1,AM,,IMI,HIGH,imihigh,,3,15,12,3,0.8
,1,AM,15C,IMI,HIGH,imihigh,,1,15,13,2,0.866666667
,1,AM,,IMI,HIGH,imihigh,,2,15,12,3,0.8
,1,AM,,IMI,HIGH,imihigh,,3,15,14,1,0.933333333
,1,AM,16A,IMI,HIGH,imihigh,,1,15,7,8,0.466666667
,1,AM,,IMI,HIGH,imihigh,,2,15,10,5,0.666666667
,1,AM,,IMI,HIGH,imihigh,,3,15,11,4,0.733333333
,1,AM,16B,IMI,HIGH,imihigh,,1,15,11,4,0.733333333
,1,AM,,IMI,HIGH,imihigh,,2,15,12,3,0.8
,1,AM,,IMI,HIGH,imihigh,,3,15,13,2,0.866666667
,1,PM,11A,CONTROL,LOW,controllow,,1,15,13,2,0.866666667
,1,PM,,CONTROL,LOW,controllow,,2,15,13,2,0.866666667
,1,PM,,CONTROL,LOW,controllow,,3,15,13,2,0.866666667
,1,PM,11B,CONTROL,LOW,controllow,,1,12,10,2,0.833333333
,1,PM,,CONTROL,LOW,controllow,,2,13,11,2,0.846153846
,1,PM,,CONTROL,LOW,controllow,,3,13,9,4,0.692307692
,1,PM,12A,CONTROL,LOW,controllow,,1,15,12,3,0.8
,1,PM,,CONTROL,LOW,controllow,,2,15,10,5,0.666666667
,1,PM,,CONTROL,LOW,controllow,,3,15,13,2,0.866666667
,1,PM,12B,CONTROL,LOW,controllow,,1,15,13,2,0.866666667
,1,PM,,CONTROL,LOW,controllow,,2,15,11,4,0.733333333
,1,PM,,CONTROL,LOW,controllow,,3,15,13,2,0.866666667
,1,PM,3E,CONTROL,LOW,controllow,,1,15,15,0,1
,1,PM,,CONTROL,LOW,controllow,,2,15,15,0,1
,1,PM,,CONTROL,LOW,controllow,,3,15,14,1,0.933333333
,1,PM,14A,CONTROL,HIGH,controlhigh,,1,13,7,6,0.538461538
,1,PM,,CONTROL,HIGH,controlhigh,,2,15,10,5,0.666666667
,1,PM,,CONTROL,HIGH,controlhigh,,3,16,10,6,0.625
,1,PM,14B,CONTROL,HIGH,controlhigh,,1,17,13,4,0.764705882
,1,PM,,CONTROL,HIGH,controlhigh,,2,15,11,4,0.733333333
,1,PM,,CONTROL,HIGH,controlhigh,,3,15,12,3,0.8
,1,PM,14C,CONTROL,HIGH,controlhigh,,1,,,2,
,1,PM,,CONTROL,HIGH,controlhigh,,2,,,,
,1,PM,,CONTROL,HIGH,controlhigh,,3,,,,
,1,PM,15A,CONTROL,HIGH,controlhigh,,1,16,10,6,0.625
,1,PM,,CONTROL,HIGH,controlhigh,,2,15,11,4,0.733333333
,1,PM,,CONTROL,HIGH,controlhigh,,3,15,10,5,0.666666667
,1,PM,15B,CONTROL,HIGH,controlhigh,,1,,,,
,1,PM,,CONTROL,HIGH,controlhigh,,2,,,,
,1,PM,,CONTROL,HIGH,controlhigh,,3,,,,
,1,PM,1C,IMI,LOW,imilow,,1,15,14,1,0.933333333
,1,PM,,IMI,LOW,imilow,,2,15,14,1,0.933333333
,1,PM,,IMI,LOW,imilow,,3,15,14,1,0.933333333
,1,PM,1D,IMI,LOW,imilow,,1,15,13,2,0.866666667
,1,PM,,IMI,LOW,imilow,,2,15,12,3,0.8
,1,PM,,IMI,LOW,imilow,,3,15,14,1,0.933333333
,1,PM,1E,IMI,LOW,imilow,,1,15,14,1,0.933333333
,1,PM,,IMI,LOW,imilow,,2,15,14,1,0.933333333
,1,PM,,IMI,LOW,imilow,,3,15,14,1,0.933333333
,1,PM,3C,IMI,LOW,imilow,,1,15,12,3,0.8
,1,PM,,IMI,LOW,imilow,,2,15,13,2,0.866666667
,1,PM,,IMI,LOW,imilow,,3,15,13,2,0.866666667
,1,PM,3D,IMI,LOW,imilow,,1,11,7,4,0.636363636
,1,PM,,IMI,LOW,imilow,,2,13,6,7,0.461538462
,1,PM,,IMI,LOW,imilow,,3,13,8,5,0.615384615
,1,PM,13A,IMI,HIGH,imihigh,,1,15,7,8,0.466666667
,1,PM,,IMI,HIGH,imihigh,,2,15,8,7,0.533333333
,1,PM,,IMI,HIGH,imihigh,,3,15,9,6,0.6
,1,PM,13B,IMI,HIGH,imihigh,,1,15,10,5,0.666666667
,1,PM,,IMI,HIGH,imihigh,,2,15,13,2,0.866666667
