colony_of_origin ,microcolony_id,pesticide_treatment,temperature,treatment,pre_number_of_bees,post_number_of_bees,pre_brood_weight,post_brood_weight
1,1A,control,high,HC,15,27,18.275,14.35
1,1B,control,high,HC,15,33,17.0756,14.429
2,2A,control,high,HC,15,32,17.6589,9.191
2,2b,control,high,HC,15,,17.1653,12.307
2,2C,control,high,HC,15,,18.254,16.139
3,3A,control,high,HC,15,,18.569,13.931
6,6A,imi,high,HI,15,15,17.1719,12.141
6,6B,imi,high,HI,15,32,17.0218,9.833
6,6C,imi,high,HI,15,17,17.8483,15.316
7,7A,imi,high,HI,15,27,17.2567,11.523
7,7B,imi,high,HI,15,23,17.2217,13.953
8,8A,imi,high,HI,15,17,18.3252,
3,3B,control,low,LC,15,26,17.052,15.812
4,4A,control,low,LC,15,23,17.1383,
4,4B,control,low,LC,15,21,17.1484,10.579
5,5A,control,low,LC,15,25,17.836,14.194
5,5B,control,low,LC,15,36,17.8883,9.482
5,5C,control,low,LC,15,26,17.2246,15.953
8,8B,imi,low,LI,15,28,17.4385,9.621
8,8C,imi,low,LI,15,49,17.8188,9.651
9,9A,imi,low,LI,15,22,17.6022,10.839
9,9B,imi,low,LI,15,17,18.5473,14.357
10,10A,imi,low,LI,15,29,17.7641,10.651
10,10B,imi,low,LI,15,24,17.4482,11.169
11,11A,CONTROL,LOW,LC,15,23,15.999,10.447
11,11B,CONTROL,LOW,LC,15,14,15.9987,9.881
12,12A,CONTROL,LOW,LC,15,26,14.0241,8.198
12,12B,CONTROL,LOW,LC,15,23,14.653,10.547
3,3E,CONTROL,LOW,LC,15,24,10.7641,5.081
14,14A,CONTROL,HIGH,HC,15,,15.0388,9.578
14,14B,CONTROL,HIGH,HC,15,23,14.2426,7.768
14,14C,CONTROL,HIGH,HC,15,30,14.4997,2.798
15,15A,CONTROL,HIGH,HC,15,33,15.1856,10.383
15,15B,CONTROL,HIGH,HC,15,19,14.1516,11.104
1,1C,IMI,LOW,LI,15,15,15.2299,8.596
1,1D,IMI,LOW,LI,15,16,14.3254,8.451
1,1E,IMI,LOW,LI,15,12,13.5294,8.567
3,3C,IMI,LOW,LI,15,14,11.0475,6.079
3,3D,IMI,LOW,LI,15,15,10.1873,8.09
13,13A,IMI,HIGH,HI,15,14,15.8389,11.08
13,13B,IMI,HIGH,HI,15,20,14.9601,10.443
15,15C,IMI,HIGH,HI,15,13,13.825,7.148
16,16A,IMI,HIGH,HI,15,18,14.28,9.728
16,16B,IMI,HIGH,HI,15,,14.6614,7.641
